function,count,library
"numpy.ndarray[tuple[int, int]] = int",99,skimage
"numpy.ndarray[tuple[int, int]]",99,skimage
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int]]",99,matplotlib
"numpy.array(list[int], dtype=str)",98,pandas
numpy.dtype.type,97,pandas
"numpy.timedelta64(int, str)",97,pandas
numpy.array(list[list[int]]),95,skimage
"numpy.ndarray.reshape(numpy.ndarray, int, int)",89,pandas
numpy.float64 == numpy.float64,89,pandas
numpy.asarray,87,pandas
numpy.float64 + float,85,matplotlib
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int]]",84,skimage
numpy.empty,83,pandas
numpy.errstate,83,pandas
numpy.dtype.kind,82,pandas
numpy.asarray(a=numpy.ndarray),81,pandas
numpy.errstate(kwargs=dict),81,pandas
numpy.absolute(numpy.ndarray),79,skimage
numpy.arange(int),78,skimage
numpy.timedelta64,76,pandas
"numpy.testing._private.utils.assert_array_equal(x=numpy.ndarray, y=numpy.ndarray)",76,xarray
int * numpy.ndarray,76,skimage
numpy.float64 - float,74,matplotlib
"numpy.testing._private.utils.assert_allclose(actual=numpy.ndarray, atol=float, desired=numpy.ndarray)",74,matplotlib
numpy.float64 / numpy.float64,73,matplotlib
numpy.float64 * numpy.float64,73,matplotlib
numpy.sum(a=numpy.ndarray),73,skimage
numpy.ndarray & numpy.ndarray,72,pandas
numpy.zeros,72,pandas
numpy.ndarray.ndim,72,dask.array
float * numpy.float64,71,matplotlib
numpy.array(list[str]),71,pandas
numpy.ndarray[numpy.ndarray] = int,70,pandas
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.ndarray, desired=numpy.ndarray)",70,skimage
numpy.ndarray == int,70,skimage
numpy.ndarray / numpy.ndarray,68,skimage
numpy.double,68,skimage
"numpy.ndarray[tuple[int, int]]",68,matplotlib
"numpy.testing._private.utils.assert_array_equal(x=numpy.ndarray, y=numpy.ndarray)",67,matplotlib
"numpy.ndarray[slice[NoneType, int, NoneType]]",67,pandas
numpy.bool_,67,pandas
numpy.all(a=numpy.ndarray),67,skimage
numpy.array(list[int]),67,skimage
numpy.ndarray.ravel(numpy.ndarray),66,skimage
"numpy.ndarray[tuple[slice[int, int, NoneType], slice[int, int, NoneType]]]",66,skimage
numpy.dtype.kind,66,xarray
numpy.isnan,65,pandas
numpy.ndarray.T,65,matplotlib
numpy.mean,64,pandas
numpy.pi,64,skimage
numpy.dtype == numpy.dtype,64,pandas
numpy.ndarray.T,64,pandas
numpy.float64 * float,64,matplotlib
numpy.float64 / float,63,matplotlib
numpy.array,63,xarray
numpy.ndarray * int,63,pandas
numpy.array(list[float]),62,pandas
numpy.int64 == numpy.int64,61,pandas
float * numpy.float64,61,skimage
int * numpy.ndarray,61,matplotlib
numpy.dtype == Type[numpy.float64],61,pandas
"numpy.random.mtrand.RandomState.randn(numpy.random.mtrand.RandomState, int, int)",61,xarray
"numpy.ndarray[tuple[builtins.ellipsis, int]]",61,skimage
-numpy.float64,60,matplotlib
numpy.ndarray.T,60,skimage
numpy.ndarray.ravel(numpy.ndarray),60,pandas
numpy.ndarray.ndim,60,matplotlib
numpy.inf,60,pandas
numpy.ndarray == numpy.ndarray,59,pandas
numpy.ones,58,skimage
"numpy.ndarray[tuple[numpy.ndarray, numpy.ndarray]] = int",58,skimage
numpy.bool,57,skimage
numpy.ndarray + int,57,matplotlib
numpy.ndarray.shape,56,xarray
numpy.float64 - numpy.float64,56,skimage
numpy.array(list[int]),56,dask.array
numpy.ndarray.copy(numpy.ndarray),56,skimage
"numpy.ndarray.view(numpy.ndarray, str)",56,pandas
numpy.ndarray[numpy.ndarray] = numpy.ndarray,55,pandas
numpy.ndarray.size,55,skimage
"numpy.ndarray[slice[int, NoneType, NoneType]]",55,pandas
numpy.sin(numpy.ndarray),54,matplotlib
numpy.ndarray += numpy.ndarray,54,skimage
numpy.ndarray * float,54,matplotlib
numpy.datetime64,54,pandas
numpy.ndarray ** int,54,matplotlib
numpy.ndarray,53,dask.array
numpy.ndarray * int,52,skimage
numpy.ndarray,52,xarray
numpy.ndarray > int,52,skimage
numpy.ndarray.max(numpy.ndarray),52,skimage
numpy.asarray(a=numpy.ndarray),52,matplotlib
numpy.all,52,skimage
numpy.float64 == int,52,matplotlib
numpy.ndarray - int,51,skimage
numpy.NaN,51,pandas
numpy.ma,50,dask.array
numpy.ndarray | numpy.ndarray,50,pandas
"numpy.arange(int, int)",50,pandas
numpy.float64,49,skimage
numpy.nan,49,dask.array
"numpy.linspace(num=int, start=int, stop=int)",48,matplotlib
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int])",48,pandas
numpy.ma.core.MaskedArray.shape,48,matplotlib
not numpy.bool_,48,pandas
numpy.ndarray.sum(numpy.ndarray),48,skimage
numpy.ndarray.astype,48,pandas
numpy.ndarray[numpy.ndarray] = numpy.ndarray,48,skimage
numpy.newaxis,47,skimage
numpy.int8,47,pandas
numpy.testing,47,xarray
numpy.sum,46,pandas
-numpy.ndarray,46,matplotlib
numpy.vstack(tup=list[numpy.ndarray]),46,matplotlib
numpy.array(list[float]),46,matplotlib
"numpy.ndarray[slice[NoneType, int, NoneType]]",46,skimage
"numpy.ones(shape=tuple[int, int])",46,skimage
numpy.float64,46,matplotlib
"numpy.random.mtrand.RandomState.randn(numpy.random.mtrand.RandomState, int)",46,xarray
numpy.datetime64(str),46,pandas
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int, int]]",46,matplotlib
int * numpy.float64,45,skimage
numpy.ndarray[numpy.ndarray] = int,45,skimage
numpy.isnan(float),45,pandas
"numpy.linspace(num=int, start=int, stop=int)",45,xarray
numpy.ndarray.ndim,45,xarray
"numpy.ndarray.take(numpy.ndarray, numpy.ndarray)",45,pandas
numpy.float64 / numpy.float64,44,skimage
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.uint8])",44,skimage
numpy.absolute(numpy.ndarray),44,matplotlib
numpy.ndarray.size,44,matplotlib
numpy.ndarray.min(numpy.ndarray),44,skimage
numpy.sqrt(numpy.ndarray),44,skimage
"numpy.testing._private.utils.assert_equal(actual=int, desired=int)",44,skimage
"numpy.ndarray.reshape(numpy.ndarray, int, int)",44,skimage
numpy.testing._private.utils.assert_(val=numpy.bool_),43,skimage
numpy.dtype,43,pandas
numpy.ndarray[int],43,xarray
"numpy.ndarray.astype(numpy.ndarray, numpy.dtype)",43,pandas
numpy.ndarray + int,43,dask.array
numpy.nan,43,matplotlib
numpy.random.randint,43,pandas
numpy.ndarray * int,43,matplotlib
numpy.ndarray[numpy.ndarray] = numpy.ndarray,43,matplotlib
"numpy.zeros(tuple[int, int, int])",42,skimage
numpy.ndarray / int,42,matplotlib
numpy.float32,41,skimage
numpy.ndarray / int,41,skimage
"numpy.random.mtrand.RandomState.seed(numpy.random.mtrand.RandomState, int)",41,matplotlib
numpy.ndarray.max(numpy.ndarray),41,matplotlib
numpy.ndarray / float,41,skimage
numpy.bool,41,pandas
"numpy.array(list[str], dtype=Type[builtins.object])",40,pandas
numpy.ndarray + float,40,matplotlib
numpy.pad,40,skimage
"numpy.ndarray[slice[int, NoneType, NoneType]]",40,matplotlib
numpy.ndarray.size,40,pandas
"numpy.ndarray[slice[NoneType, int, NoneType]]",40,matplotlib
"numpy.array(list[int], dtype=numpy.dtype)",40,pandas
numpy.float32,40,pandas
numpy.testing,40,skimage
numpy.dtype == Type[numpy.object_],39,pandas
numpy.mgrid,39,skimage
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int])",39,dask.array
numpy.float64 == int,39,pandas
numpy.array,39,matplotlib
numpy.dtype == Type[builtins.object],39,pandas
"numpy.meshgrid(xi=tuple[numpy.ndarray, numpy.ndarray])",39,matplotlib
numpy.ndarray @ numpy.ndarray,39,skimage
numpy.dtype.name,38,pandas
numpy.concatenate(list[numpy.ndarray]),38,pandas
numpy.ndarray != int,38,pandas
numpy.float64 / int,38,matplotlib
numpy.float64 == float,38,pandas
numpy.ndarray + int,38,pandas
numpy.dtype(Type[builtins.object]),38,pandas
numpy.dtype == numpy.dtype,38,xarray
numpy.ndarray & numpy.ndarray,37,matplotlib
"numpy.ndarray[tuple[sliinte[int, int, NoneType], sliinte[int, int, NoneType]]] = int",37,skimage
numpy.ndarray == numpy.ndarray,37,skimage
"numpy.ndarray[slice[NoneType, NoneType, int]]",37,pandas
numpy.amax(a=numpy.ndarray),37,skimage
float / numpy.float64,36,matplotlib
"numpy.ndarray[slice[int, int, NoneType]]",36,pandas
numpy.ndarray.all(numpy.ndarray),36,dask.array
"numpy.array(list[int], dtype=Type[numpy.int32])",36,pandas
numpy.ndarray[numpy.ndarray] = float,36,pandas
numpy.ndarray.ravel(numpy.ndarray),36,matplotlib
"numpy.array(list[list[int]], dtype=Type[numpy.uint8])",35,skimage
numpy.object,35,pandas
numpy.float,35,skimage
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.float64])",35,skimage
numpy.array(numpy.ndarray),35,pandas
-numpy.ndarray,35,skimage
numpy.ndarray + numpy.ndarray,35,dask.array
numpy.ndarray + int,35,skimage
numpy.float64 > numpy.float64,35,matplotlib
numpy.random.randint,35,dask.array
numpy.ndarray / numpy.ndarray,35,matplotlib
"numpy.array(list[Union[float, int]])",34,pandas
"numpy.ndarray.astype(numpy.ndarray, str)",34,skimage
numpy.cos(numpy.ndarray),34,matplotlib
"numpy.ndarray[slice[int, int, NoneType]]",34,matplotlib
numpy.testing,34,matplotlib
numpy.float64 + numpy.float64,34,skimage
"numpy.ndarray.astype(numpy.ndarray, Type[builtins.float])",34,skimage
numpy.ndarray.all,33,dask.array
numpy.float64 + int,33,matplotlib
numpy.ndarray.std(numpy.ndarray),33,skimage
numpy.ndarray.min(numpy.ndarray),33,matplotlib
numpy.float64 == int,33,skimage
numpy.ndarray / float,33,matplotlib
numpy.zeros_like(a=numpy.ndarray),32,skimage
numpy.asarray(a=numpy.ndarray),32,xarray
numpy.ndarray.sum(numpy.ndarray),32,pandas
numpy.ndarray.nonzero(numpy.ndarray),32,pandas
numpy.ndarray[int] = int,32,skimage
numpy.dtype == Type[numpy.int64],32,pandas
"numpy.linspace(num=int, start=float, stop=float)",32,matplotlib
numpy.iterable(y=numpy.ndarray),32,matplotlib
int == numpy.int64,32,pandas
numpy.float64 * int,32,matplotlib
"numpy.array(list[builtins.bool], dtype=Type[builtins.bool])",31,pandas
"numpy.random.mtrand.RandomState.randint(numpy.random.mtrand.RandomState, int, int, size=int)",31,pandas
numpy.zeros(int),31,matplotlib
numpy.asarray,31,xarray
numpy.dtype(str),31,xarray
"numpy.ndarray[slice[NoneType, NoneType, int]]",31,matplotlib
float + numpy.float64,31,matplotlib
"numpy.testing._private.utils.assert_allclose(actual=numpy.ndarray, desired=numpy.ndarray)",31,skimage
numpy.ndarray += numpy.ndarray,31,matplotlib
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int])",31,matplotlib
numpy.sum,31,skimage
"numpy.testing._private.utils.assert_array_almost_equal(x=numpy.ndarray, y=numpy.ndarray)",31,skimage
numpy.ndarray >= int,31,skimage
numpy.float64 > numpy.float64,31,skimage
numpy.inf,31,matplotlib
int * numpy.float64,31,matplotlib
numpy.dtype == numpy.dtype,30,skimage
"numpy.array(tuple[int, int])",30,skimage
numpy.all(a=numpy.ndarray),30,pandas
"numpy.random.mtrand.RandomState.rand(numpy.random.mtrand.RandomState, int, int)",30,skimage
numpy.ndarray - numpy.float64,30,skimage
numpy.ndarray[int] = int,30,pandas
numpy.int32,30,matplotlib
numpy.dtype != numpy.dtype,30,pandas
numpy.float64 * numpy.ndarray,30,matplotlib
"numpy.zeros(tuple[int, int], dtype=Type[numpy.uint8])",30,skimage
numpy.any(a=numpy.ndarray),30,skimage
numpy.uint8,30,pandas
numpy.ndarray[str],30,pandas
numpy.ndarray / numpy.float64,30,skimage
"numpy.zeros(int, dtype=Type[builtins.bool])",29,pandas
numpy.float64 * numpy.float64,29,skimage
pandas._linumpy.timedelta64s.tslinumpy.timedelta64s.timedeltas.Timedelta == numpy.timedelta64,29,pandas
int - numpy.float64,29,matplotlib
numpy.integer,29,pandas
numpy.uint64,29,pandas
numpy.int64 == int,29,skimage
numpy.isnan(numpy.float64),29,pandas
numpy.ma.core.MaskedArray.ndim,29,matplotlib
numpy.ndarray & numpy.ndarray,29,skimage
"numpy.ndarray.astype(numpy.ndarray, Type[builtins.object])",28,pandas
"numpy.ndarray[tuple[slinumpy.ndarraye[NoneType, NoneType, NoneType], int]] = numpy.ndarray",28,matplotlib
numpy.asarray(a=pandas.core.series.Series),28,pandas
float - numpy.float64,28,matplotlib
numpy.ndarray.tolist(numpy.ndarray),28,pandas
*numpy.ndarray,28,xarray
numpy.array,28,dask.array
numpy.int8,28,skimage
numpy.newaxis,28,matplotlib
numpy.float64 - int,28,skimage
"numpy.testing._private.utils.assert_array_equal(x=xarray.core.variable.Variable, y=numpy.ndarray)",28,xarray
numpy.ones,28,dask.array
numpy.arange,27,matplotlib
numpy.array(list[int]),27,xarray
numpy.ndarray.base,27,pandas
numpy.ndarray.all,27,skimage
numpy.float64 - int,27,matplotlib
"numpy.ones(shape=tuple[int, int])",27,dask.array
numpy.dtype(Type[numpy.object_]),27,pandas
numpy.float64 == numpy.float64,27,matplotlib
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.int64])",27,pandas
numpy.int64(int),27,pandas
numpy.ones,27,pandas
numpy.int16,27,pandas
int - numpy.ndarray,27,skimage
numpy.ndarray - float,27,matplotlib
int + numpy.ndarray,26,skimage
numpy.ndarray * float,26,skimage
"numpy.zeros(tuple[int, int], dtype=Type[numpy.float64])",26,skimage
numpy.int32,26,skimage
numpy.uint16,26,skimage
"numpy.zeros(tuple[int, int], str)",26,skimage
numpy.iterable(y=list[int]),26,matplotlib
"numpy.ndarray.astype(numpy.ndarray, Type[builtins.float])",26,pandas
numpy.float64 ** int,26,skimage
numpy.linalg,25,skimage
"numpy.random.mtrand.RandomState.rand(numpy.random.mtrand.RandomState, int, int)",25,pandas
"numpy.ndarray[tuple[builtins.ellipsis, int]] = numpy.ndarray",25,skimage
numpy.inf,25,skimage
numpy.ndarray.sum,25,dask.array
"numpy.array(list[str], dtype=str)",25,pandas
numpy.zeros,25,matplotlib
numpy.int64 + int,25,skimage
numpy.arange,25,xarray
"numpy.random.mtrand.RandomState.random(numpy.random.mtrand.RandomState, tuple[int, int])",25,dask.array
"numpy.ndarray.reshape(numpy.ndarray, tuple[int])",25,pandas
numpy.ndarray.flatten(numpy.ndarray),25,matplotlib
numpy.ones(shape=int),25,matplotlib
numpy.random.mtrand.RandomState(int),25,skimage
numpy.dtype == Type[numpy.bool_],25,pandas
"numpy.testing._private.utils.assert_equal(actual=tuple[int, int], desired=tuple[int, int])",25,skimage
numpy.dtype == numpy.dtype,25,dask.array
"numpy.ndarray[slice[int, int, int]]",25,pandas
"numpy.testing._private.utils.assert_equal(actual=numpy.ndarray, desired=int)",25,skimage
numpy.ndarray[numpy.ndarray] = builtins.bool,24,pandas
"numpy.ndarray.repeat(numpy.ndarray, int)",24,pandas
numpy.std,24,pandas
numpy.int64 + int,24,matplotlib
numpy.ndarray - numpy.ndarray,24,pandas
numpy.ndarray - int,24,pandas
numpy.all,24,pandas
numpy.ndarray >= int,24,pandas
~numpy.ndarray,24,matplotlib
numpy.zeros,24,dask.array
"numpy.ndarray[tuple[int, sliinte[NoneType, NoneType, NoneType]]] = int",24,skimage
numpy.ndarray.dtype,24,matplotlib
numpy.ndarray + float,24,skimage
numpy.ndarray == int,24,dask.array
numpy.ndarray == int,24,matplotlib
"numpy.ndarray[tuple[builtins.ellipsis, NoneType]]",24,skimage
numpy.ndarray - int,24,matplotlib
"numpy.ones(dtype=Type[numpy.uint8], shape=tuple[int, int])",24,skimage
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int])",24,skimage
numpy.asarray(a=list[int]),24,pandas
numpy.ndarray.size,24,xarray
numpy.ndarray == numpy.ndarray,23,dask.array
numpy.ndarray.all(numpy.ndarray),23,skimage
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, int, NoneType]]]",23,skimage
numpy.empty,23,skimage
"numpy.arange(int, int, int)",23,pandas
numpy.ndarray * numpy.float64,23,matplotlib
numpy.eye(N=int),23,skimage
numpy.linalg,23,dask.array
int - numpy.ndarray,23,matplotlib
numpy.asarray,23,skimage
"numpy.arange(int, dtype=Type[numpy.int64])",23,pandas
numpy.ma.core.MaskedArray.mask,23,matplotlib
"numpy.ndarray[tuple[slice[NoneType, int, NoneType], slice[NoneType, int, NoneType]]]",23,skimage
~numpy.ndarray,23,skimage
numpy.ascontiguousarray(a=numpy.ndarray),23,skimage
numpy.sort(a=numpy.ndarray),23,pandas
"numpy.ndarray.astype(numpy.ndarray, str, copy=builtins.bool)",23,pandas
numpy.array(list[int]),23,matplotlib
"numpy.random.mtrand.RandomState.rand(numpy.random.mtrand.RandomState, int)",23,pandas
numpy.float64 * numpy.ndarray,23,skimage
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.float64, decimal=int, desired=float)",22,skimage
numpy.array(list[list[float]]),22,skimage
numpy.ndarray[int] = numpy.float64,22,matplotlib
numpy.ma.core.MaskedArray[int],22,matplotlib
numpy.ndarray / numpy.float64,22,matplotlib
numpy.array(list[list[int]]),22,matplotlib
numpy.sqrt(numpy.float64),22,skimage
"numpy.ndarray.astype(numpy.ndarray, str)",22,dask.array
"numpy.random.mtrand.RandomState.randint(numpy.random.mtrand.RandomState, int, int, int)",22,pandas
numpy.mean(a=numpy.ndarray),22,skimage
"numpy.random.mtrand.RandomState.random(numpy.random.mtrand.RandomState, tuple[int, int, int])",22,dask.array
numpy.ndarray.take,22,pandas
"numpy.ndarray[tuple[int, int, int]]",22,skimage
numpy.ndarray * numpy.float64,22,skimage
numpy.amin(a=numpy.ndarray),22,matplotlib
numpy.asarray,22,matplotlib
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.float64])",22,pandas
-numpy.float64,22,skimage
int * numpy.ndarray,22,dask.array
numpy.dtype(Type[builtins.bool]),22,pandas
numpy.empty,22,dask.array
numpy.dtype == Type[builtins.bool],22,skimage
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int]]",22,pandas
"numpy.ndarray[tuple[slice[NoneType, int, NoneType], slice[NoneType, NoneType, NoneType]]]",22,skimage
numpy.int32 == numpy.int32,22,pandas
numpy.numpy.bool_ool_ == numpy.bool_,22,pandas
numpy.uint8 == numpy.uint8,22,pandas
numpy.uint32 == numpy.uint32,22,pandas
"numpy.array(list[str], dtype=Type[numpy.object_])",22,pandas
numpy.int8 == numpy.int8,22,pandas
numpy.uint64 == numpy.uint64,21,pandas
numpy.float64 > int,21,matplotlib
numpy.ndarray.max(numpy.ndarray),21,pandas
numpy.asarray(a=numpy.ndarray),21,skimage
numpy.asarray(a=pandas.core.arrays.sparse.array.SparseArray),21,pandas
numpy.ndarray.ravel(numpy.ndarray),21,xarray
numpy.ndarray[int] = numpy.ndarray,21,skimage
numpy.int64 + int,21,pandas
numpy.int64 > int,21,pandas
"numpy.ndarray[tuple[numpy.ndarray, numpy.ndarray]]",21,skimage
numpy.ndarray[numpy.ndarray] = str,21,pandas
"numpy.random.mtrand.RandomState.randint(numpy.random.mtrand.RandomState, int, int, tuple[int, int])",21,dask.array
numpy.ndarray % int,21,pandas
"numpy.ndarray[tuple[int, int]]",21,pandas
numpy.dtype == Type[numpy.int32],21,pandas
numpy.ones(shape=int),21,pandas
numpy.max,21,skimage
"numpy.tile(A=numpy.ndarray, reps=int)",21,pandas
numpy.ndarray[int],21,dask.array
"numpy.arange(int, int)",21,xarray
numpy.unique(ar=numpy.ndarray),21,skimage
numpy.array(list[list[int]]),21,pandas
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int, int])",20,dask.array
numpy.intp,20,dask.array
numpy.ndarray.any(numpy.ndarray),20,matplotlib
numpy.ndarray[int] = float,20,pandas
numpy.array(list[float]),20,skimage
numpy.asarray(a=pandas.core.arrays.categorical.Categorical),20,pandas
numpy.ndarray.T,20,xarray
numpy.timedelta64(str),20,pandas
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.float64, desired=float)",20,skimage
numpy.number,20,pandas
"numpy.ndarray.reshape(numpy.ndarray, int, int)",20,matplotlib
numpy.exp(numpy.ndarray),20,skimage
numpy.int64,20,xarray
numpy.sin(numpy.float64),20,matplotlib
numpy.isnan(float),20,dask.array
"numpy.lituple[slice[int, int, NoneType], slice[int, int, NoneType]].index_tricks.MGridClass[tuple[slice[int, int, NoneType], slice[int, int, NoneType]]]",20,skimage
"numpy.array(list[builtins.bool], dtype=str)",20,pandas
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int])",20,xarray
numpy.array(int),20,pandas
"numpy.ones(dtype=Type[builtins.bool], shape=tuple[int, int])",20,skimage
float + numpy.ndarray,20,matplotlib
numpy.iinfo.max,20,pandas
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int, slice[NoneType, NoneType, NoneType]]]",20,matplotlib
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.float32])",20,skimage
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[int, NoneType, NoneType]]]",20,skimage
numpy.ma.core.MaskedArray.ndim,20,dask.array
numpy.dtype(Type[numpy.int64]),20,pandas
numpy.ravel(a=numpy.ndarray),19,matplotlib
"numpy.random.mtrand.RandomState.normal(numpy.random.mtrand.RandomState, size=int)",19,matplotlib
numpy.all(a=numpy.ndarray),19,matplotlib
numpy.ndarray + numpy.ndarray,19,pandas
numpy.ndarray + float,19,pandas
"numpy.ones(shape=tuple[int, int])",19,pandas
numpy.isfinite(numpy.float64),19,matplotlib
int + numpy.ndarray,19,pandas
numpy.ndarray - float,19,skimage
"numpy.dot(numpy.ndarray, numpy.ndarray)",19,matplotlib
numpy.absolute(numpy.float64),19,matplotlib
"numpy.ndarray[tuple[int, int, int]] = int",19,skimage
numpy.arange,19,skimage
numpy.amax(a=numpy.ndarray),19,matplotlib
numpy.random.normal,19,matplotlib
"numpy.arange(int, int)",19,matplotlib
numpy.ndarray[numpy.int64],19,pandas
numpy.ma.core.MaskedArray.dtype,19,pandas
numpy.ndarray += int,19,skimage
numpy.ndarray == numpy.ndarray,19,matplotlib
numpy.isnan(int),19,dask.array
"numpy.arange(int, int, int)",19,matplotlib
numpy.array(list[numpy.ndarray]),19,skimage
"numpy.ndarray[tuple[int, slice[NoneType, NoneType, NoneType]]]",19,skimage
numpy.ndarray * int,19,dask.array
-numpy.ndarray,19,pandas
numpy.nan,19,skimage
"numpy.hypot(numpy.ndarray, numpy.ndarray)",19,matplotlib
numpy.ndarray,18,skimage
"numpy.ndarray[slice[NoneType, int, NoneType]]",18,dask.array
"numpy.testing._private.utils.assert_array_almost_equal(x=numpy.ndarray, y=numpy.ndarray)",18,matplotlib
numpy.ndarray == numpy.ndarray,18,xarray
numpy.float32,18,xarray
numpy.exp(numpy.ndarray),18,matplotlib
"numpy.zeros(tuple[int, int], dtype=Type[builtins.int])",18,skimage
pandas.core.series.Series - numpy.float64,18,pandas
numpy.uint8,18,matplotlib
numpy.asarray(a=pandas.core.indexes.numeric.Int64Index),18,pandas
numpy.cos(numpy.float64),18,matplotlib
numpy.dtype(Type[builtins.bytes]),18,pandas
"numpy.random.mtrand.RandomState.random(numpy.random.mtrand.RandomState, tuple[int])",18,dask.array
"numpy.ndarray[slice[int, NoneType, NoneType]]",18,skimage
numpy.asarray(a=list[int]),18,matplotlib
"numpy.ndarray.reshape(numpy.ndarray, tuple[int])",18,xarray
numpy.ndarray.copy(numpy.ndarray),18,matplotlib
numpy.amin(a=numpy.ndarray),18,skimage
"numpy.ndarray.astype(numpy.ndarray, Type[builtins.int])",18,skimage
"numpy.zeros(tuple[int, int])",18,matplotlib
numpy.uint16 == numpy.uint16,18,pandas
numpy.dtype == str,18,xarray
numpy.ma.masked_array,18,dask.array
"numpy.ndarray[tuple[slinumpy.ndarraye[NoneType, NoneType, NoneType], int]] = numpy.ndarray",18,skimage
numpy.ndarray.mean(numpy.ndarray),18,skimage
numpy.ndarray[numpy.ndarray],18,dask.array
numpy.array(list),18,pandas
numpy.sqrt(int),18,skimage
numpy.iterable(y=list),18,matplotlib
numpy.float64 * int,17,pandas
numpy.asarray(a=list[float]),17,matplotlib
"numpy.ndarray[tuple[slice[int, int, NoneType], slice[int, int, NoneType], slice[int, int, NoneType]]]",17,skimage
"numpy.arange(int, int)",17,skimage
numpy.ndarray.flat,17,matplotlib
"numpy.reshape(a=numpy.ndarray, newshape=tuple[int, int])",17,skimage
numpy.iterable(y=int),17,matplotlib
numpy.array(numpy.ndarray),17,matplotlib
numpy.float64 > int,17,pandas
numpy.ndarray[str],17,skimage
numpy.ceil(numpy.float64),17,matplotlib
