function,count
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, NoneType, NoneType], slice[NoneType, int, NoneType]]]",4
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, int, NoneType], slice[NoneType, int, NoneType]]]",1
"numpy.ndarray[tuple[slice[NoneType, int, NoneType], slice[NoneType, NoneType, NoneType], slice[NoneType, int, NoneType]]]",1
"numpy.ndarray[tuple[slice[NoneType, int, NoneType], slice[NoneType, int, NoneType], slice[NoneType, int, NoneType]]]",1
numpy.asanyarray(a=int),1
numpy.block(arrays=int),1
numpy.block(arrays=numpy.ndarray),1
"numpy.isnan(tuple[float, int])",1
"numpy.allclose(a=tuple[int, float], b=tuple[numpy.int64, float], equal_nan=builtins.bool)",2
"numpy.isnan(tuple[int, float])",1
"numpy.isnan(tuple[int, int, int])",5
"numpy.amax(a=tuple[int, int, int])",1
numpy.arange,10
"numpy.arange(int, dtype=Type[numpy.int64])",3
numpy.float64 >= int,1
numpy.int64.dtype,5
numpy.int64 ** int,1
"numpy.allclose(a=numpy.int64, b=numpy.int64, equal_nan=builtins.bool)",1
numpy.int32,4
"numpy.ndarray.astype(numpy.ndarray, numpy.dtype, copy=builtins.bool)",2
numpy.int64,9
numpy.ndarray.sum,25
numpy.int64 * numpy.ndarray,1
numpy.dtype != Type[builtins.object],3
"numpy.can_cast(numpy.ndarray, numpy.dtype, casting=str)",1
"numpy.ndarray.reshape(numpy.ndarray, int, int)",8
numpy.ufunc.nout,1
"numpy.add(numpy.ndarray, numpy.ndarray)",4
"numpy.empty(tuple[int], dtype=numpy.dtype)",9
numpy.ndarray + numpy.ndarray,35
dask.array.core.Array + numpy.ndarray,2
not numpy.bool_,8
numpy.float32,10
numpy.int16,3
numpy.isscalar(element=float),4
numpy.float64.dtype,3
"numpy.ones(dtype=Type[numpy.float32], shape=int)",3
"numpy.result_type(numpy.dtype, numpy.dtype)",2
"Type[numpy.ufunc] in tuple[Type[builtins.list], Type[builtins.tuple], Type[builtins.set]]",1
"Type[numpy.ufunc] in tuple[Type[builtins.tuple], Type[builtins.list], Type[builtins.set]]",1
"numpy.maximum(numpy.ndarray, numpy.ndarray)",7
numpy.result_type,2
Type[numpy.signedinteger] in dict,1
Type[numpy.numdicter] in dict,1
"Type[numpy.int64] in tuple[Type[builtins.list], Type[builtins.tuple], Type[builtins.set]]",1
numpy.ndarray.nbytes,1
"numpy.result_type(numpy.dtype, numpy.ndarray)",1
"numpy.maximum(numpy.ndarray, int)",4
"numpy.result_type(numpy.dtype, int)",1
"numpy.maximum(numpy.ndarray, float)",4
"numpy.result_type(numpy.dtype, float)",1
"numpy.maximum(numpy.ndarray, numpy.int64)",2
"numpy.result_type(numpy.dtype, numpy.int64)",1
"Type[numpy.ndarray] in tuple[Type[builtins.list], Type[builtins.tuple], Type[builtins.set]]",1
"numpy.maximum(int, numpy.ndarray)",4
"numpy.result_type(int, numpy.dtype)",1
"numpy.result_type(int, int)",1
"numpy.maximum(int, float)",1
"numpy.result_type(int, float)",1
"numpy.maximum(int, numpy.int64)",1
"numpy.maximum(float, numpy.ndarray)",4
"numpy.result_type(float, numpy.dtype)",1
"numpy.maximum(float, int)",1
"numpy.result_type(float, float)",1
"numpy.maximum(float, float)",1
"numpy.result_type(float, numpy.int64)",1
"numpy.result_type(float, numpy.ndarray)",1
"numpy.result_type(float, int)",1
"numpy.maximum(float, numpy.int64)",1
"numpy.maximum(numpy.int64, numpy.ndarray)",2
"numpy.result_type(numpy.int64, numpy.dtype)",1
"numpy.maximum(numpy.int64, int)",1
"numpy.result_type(numpy.int64, float)",1
"numpy.maximum(numpy.int64, float)",1
"numpy.result_type(numpy.int64, numpy.int64)",1
"numpy.result_type(numpy.int64, numpy.ndarray)",1
"numpy.result_type(numpy.ndarray, numpy.dtype)",1
"numpy.result_type(numpy.ndarray, int)",1
"numpy.result_type(numpy.ndarray, float)",1
"numpy.result_type(numpy.ndarray, numpy.int64)",1
int / numpy.ndarray,2
numpy.ndarray ** int,6
numpy.exp(numpy.ndarray),5
+numpy.ndarray,1
numpy.ndarray + float,8
"numpy.array(list[tuple[int, float]], dtype=list[tuple[str, str]])",1
numpy.dtype[str],1
numpy.dtype.fields,2
numpy.dtype(dict),1
numpy.ndarray == numpy.ndarray,23
numpy.ndarray.all(numpy.ndarray),36
"numpy.ones(dtype=list[tuple[str, tuple[str, Union[int, tuple[int, int]]]]], shape=tuple[int, int])",1
numpy.dtype.base,1
"numpy.ndarray[tuple[slice[int, int, NoneType], slice[int, int, NoneType], slice[int, int, NoneType], slice[int, int, NoneType]]]",2
numpy.ndarray[str],9
"numpy.empty(dtype=tuple[int, int, int, int], shape=numpy.dtype)",1
"numpy.ndarray[tuple[slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType]]] = numpy.ndarray",1
"numpy.matmul(numpy.ndarray, numpy.ndarray)",2
numpy.ndarray.__array_priority__,1
numpy.int64 == int,10
"numpy.tensordot(a=numpy.ndarray, axes=tuple[tuple[int], tuple[int]], b=numpy.ndarray)",1
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], NoneType, slice[NoneType, NoneType, NoneType]]]",2
numpy.ndarray.min(numpy.ndarray),5
numpy.asanyarray(a=list[int]),4
numpy.newaxis,8
"numpy.ndindex(shape=tuple[tuple[int, int, int]])",1
"numpy.ndarray[tuple[int, int, int]]",3
"numpy.ndarray[tuple[int, int, int]] = tuple[str, int, int, int]",1
"numpy.random.mtrand.RandomState.random(numpy.random.mtrand.RandomState, tuple[int, int])",25
"numpy.ndarray.dot(numpy.ndarray, numpy.ndarray)",5
"numpy.random.mtrand.RandomState.randint(numpy.random.mtrand.RandomState, int, size=tuple[int, int, int])",4
numpy.broadcast_to,2
"tuple[builtins.function, builtins.function, builtins.function, builtins.builtin_function_or_method]uiltins.function in tuple[builtins.function, builtins.function, builtins.function, builtins.builtin_function_or_method]",4
"numpy.broadcast_to(array=numpy.ndarray, shape=tuple[int, int, int, int])",1
"numpy.int64[tuple[builtins.ellipsis, NoneType, NoneType, NoneType, NoneType]]",1
"numpy.broadcast_to(array=numpy.ndarray, shape=tuple[int, int, int, int, int])",1
"numpy.int64[tuple[builtins.ellipsis, NoneType, NoneType, NoneType, NoneType, NoneType]]",1
"numpy.ndarray[tuple[slice[int, int, NoneType], slice[int, int, NoneType], slice[int, int, NoneType], slice[int, int, NoneType], slice[int, int, NoneType]]]",2
numpy.random.randint,35
"numpy.broadcast_to(array=numpy.ndarray, shape=tuple[int, int, int])",2
"numpy.int64[tuple[builtins.ellipsis, NoneType, NoneType, NoneType]]",1
numpy.asarray(a=int),2
"numpy.broadcast_to(array=int, shape=tuple[int])",1
"numpy.broadcast_to(array=int, shape=tuple[int, int])",1
"numpy.broadcast_to(array=int, shape=tuple[int, int, int, int])",1
numpy.broadcast_arrays,2
"numpy.broadcast_arrays(args=tuple[numpy.ndarray, numpy.ndarray])",3
numpy.int64 != int,1
int == numpy.int64,6
"numpy.broadcast_arrays(args=tuple[dask.array.core.Array, dask.array.core.Array])",2
"numpy.array(list[dask.array.core.Array], dtype=str)",1
numpy.isscalar(element=numpy.bool_),6
numpy.bool_.dtype,1
numpy.array(numpy.bool_),4
numpy.bool_.ndim,3
"numpy.random.mtrand.RandomState.random(numpy.random.mtrand.RandomState, tuple)",9
numpy.ndarray * numpy.ndarray,16
"numpy.random.mtrand.RandomState.randint(numpy.random.mtrand.RandomState, int, size=tuple[int])",3
"numpy.ndarray[tuple[builtins.ellipsis, NoneType, NoneType]]",1
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int, int])",20
"numpy.random.mtrand.RandomState.randint(numpy.random.mtrand.RandomState, int, size=tuple[int, int])",17
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int, int, int])",11
"numpy.random.mtrand.RandomState.randint(numpy.random.mtrand.RandomState, int, size=tuple[int, int, int, int])",1
"numpy.ndarray.reshape(numpy.ndarray, tuple)",1
"numpy.ndindex(shape=tuple[tuple[int, int, int, int]])",1
"numpy.ndarray[tuple[int, int, int, int]]",4
"numpy.ndarray.reshape(numpy.ndarray, tuple[int, int, int, int, int])",5
"numpy.empty(dtype=tuple[int, int, int, int, int], shape=numpy.dtype)",1
"numpy.ndarray[tuple[slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType], slinumpy.ndarraye[int, int, NoneType]]] = numpy.ndarray",1
"numpy.full(fill_value=int, shape=tuple[int, int])",2
numpy.ones,28
"numpy.ones(dtype=numpy.dtype, shape=tuple[int, int])",4
numpy.ndarray - int,9
"numpy.ndarray[tuple[slice[NoneType, NoneType, int], slice[NoneType, NoneType, int]]]",2
numpy.ones_like(a=numpy.ndarray),3
"numpy.ndarray(dtype=tuple, shape=Type[numpy.object_])",1
"numpy.empty(tuple, dtype=Type[numpy.object_])",1
"numpy.empty(tuple[int], dtype=Type[numpy.object_])",1
"numpy.array(list[int], dtype=str)",2
numpy.object_,2
numpy.dtype != Type[numpy.object_],1
"numpy.arange(int, int, int, numpy.dtype)",1
"numpy.empty(tuple[int, int], dtype=Type[numpy.object_])",1
numpy.ndarray.keys,1
"numpy.ones(dtype=str, shape=tuple[int, int])",2
str == numpy.dtype,2
"numpy.array(list[list[int]], dtype=str)",1
numpy.isscalar(element=numpy.uint32),1
"numpy.uint32[tuple[builtins.ellipsis, NoneType]]",1
"numpy.sum(a=numpy.ndarray, axis=str, dtype=int)",1
numpy.float_,2
int - numpy.ndarray,1
"numpy.amax(a=numpy.ndarray, axis=int, keepdims=builtins.bool)",1
"numpy.ones(dtype=numpy.dtype, shape=tuple[int])",2
"numpy.ndarray.astype(numpy.ndarray, str)",22
numpy.ndarray[NoneType],2
numpy.float32.ndim,4
numpy.array(numpy.float32),4
numpy.dtype != Type[numpy.float32],2
Type[numpy.float32] in dict,2
"numpy.arange(int, int, dtype=Type[numpy.float32])",1
"numpy.full(fill_value=tuple[int], shape=int)",1
numpy.int8,1
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.int8])",1
"numpy.ndarray(dtype=tuple, shape=Type[numpy.int8])",1
numpy.isscalar(element=numpy.int8),1
"numpy.int8[tuple[builtins.ellipsis, NoneType]]",1
Type[numpy.ndarray].__name__,5
numpy.ndarray >= int,7
numpy.ndarray <= int,13
numpy.asanyarray(a=numpy.ndarray),6
numpy.dtype == Type[builtins.bool],8
numpy.integer,3
"numpy.where(numpy.ndarray, numpy.ndarray, numpy.ndarray)",8
numpy.searchsorted,1
numpy.diff(a=numpy.ndarray),3
numpy.ndarray[int],21
"numpy.ndarray[slice[numpy.int64, numpy.int64, NoneType]]",2
numpy.ndarray[numpy.int64],4
numpy.int64 - int,6
numpy.int64 == numpy.int64,7
"numpy.ones(dtype=Type[builtins.bool], shape=int)",1
numpy.nonzero(a=numpy.ndarray),2
"numpy.issubdtype(arg1=numpy.dtype, arg2=Type[numpy.integer])",2
"numpy.searchsorted(a=tuple[int, int], side=str, v=numpy.ndarray)",1
numpy.where(numpy.ndarray),3
"numpy.concatenate(list[Union[list[int], numpy.ndarray]])",1
numpy.int64 > int,4
numpy.ndarray[list[int]],3
numpy.array(list[builtins.bool]),6
Type[numpy.int64] == Type[numpy.int64],2
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int]]",6
numpy.int8(int),1
"numpy.zeros(shape=tuple[int, int])",8
*numpy.ndarray,2
numpy.ndarray.all,33
numpy.ndarray == int,24
numpy.dtype(Type[builtins.float]),3
"numpy.zeros(shape=tuple[int, int, int])",6
"numpy.ndarray[tuple[slice[NoneType, NoneType, int], slice[NoneType, NoneType, NoneType], list[int]]]",2
numpy.ndarray in dask.highlevelgraph.HighLevelGraph,1
numpy.sum(a=list[numpy.int64]),1
int * numpy.int64,2
"numpy.array(list, dtype=numpy.dtype)",2
numpy.vstack(tup=list[numpy.ndarray]),2
"numpy.ones(dtype=tuple[int], shape=numpy.dtype)",3
numpy.ndarray.std(numpy.ndarray),2
"numpy.amin(a=numpy.ndarray, axis=tuple[int, int], keepdims=builtins.bool)",2
"numpy.amin(numpy.ndarray, axis=tuple[int, int], computing_meta=builtins.bool, keepdims=builtins.bool)",1
numpy.isscalar(element=numpy.float32),5
"numpy.float32[tuple[builtins.ellipsis, NoneType, NoneType]]",1
numpy.var(a=numpy.ndarray),11
"numpy.ndarray.sum(numpy.ndarray, axis=tuple[int, int], dtype=numpy.dtype, keepdims=builtins.bool)",6
numpy.sqrt(numpy.ndarray),6
numpy.argmin(a=list[int]),1
"numpy.array(list[tuple[str, int]], dtype=list[tuple[str, str]])",1
numpy.ndarray[list[str]],2
"numpy.ndarray.astype(numpy.ndarray, str, copy=builtins.bool)",1
numpy.ndarray / numpy.ndarray,2
numpy.ndarray ** numpy.ndarray,1
numpy.ndarray > numpy.ndarray,1
numpy.ndarray >= numpy.ndarray,1
numpy.ndarray != numpy.ndarray,1
numpy.isscalar(element=builtins.bool),2
numpy.ndarray & builtins.bool,1
numpy.ndarray ^ builtins.bool,1
numpy.ndarray > int,7
numpy.ndarray != int,1
numpy.ndarrayuiltins.numpy.ndarrayool | numpy.ndarray,1
int // numpy.ndarray,1
int % numpy.ndarray,1
int <= numpy.ndarray,1
int == numpy.ndarray,1
-numpy.ndarray,4
"numpy.logaddexp(numpy.ndarray, numpy.ndarray)",3
"numpy.logaddexp2(numpy.ndarray, numpy.ndarray)",5
numpy.log(numpy.ndarray),8
numpy.log10(numpy.ndarray),4
numpy.log1p(numpy.ndarray),6
numpy.expm1(numpy.ndarray),4
numpy.square(numpy.ndarray),6
numpy.sin(numpy.ndarray),7
numpy.cos(numpy.ndarray),4
numpy.tan(numpy.ndarray),4
numpy.ndarray / int,6
"numpy.arctan2(numpy.ndarray, numpy.ndarray)",6
"numpy.hypot(numpy.ndarray, numpy.ndarray)",3
numpy.sinh(numpy.ndarray),4
numpy.cosh(numpy.ndarray),6
numpy.tanh(numpy.ndarray),6
numpy.deg2rad(numpy.ndarray),4
numpy.rad2deg(numpy.ndarray),6
"numpy.logical_and(numpy.ndarray, numpy.ndarray)",3
"numpy.logical_or(numpy.ndarray, numpy.ndarray)",6
"numpy.logical_xor(numpy.ndarray, numpy.ndarray)",3
numpy.logical_not(numpy.ndarray),6
"numpy.maximum(dask.array.core.Array, dask.array.core.Array)",2
"numpy.minimum(numpy.ndarray, numpy.ndarray)",3
"numpy.fmax(dask.array.core.Array, dask.array.core.Array)",2
"numpy.fmin(numpy.ndarray, numpy.ndarray)",3
numpy.isreal(x=numpy.ndarray),4
numpy.ndarrayuiltins.complex * numpy.ndarray,5
numpy.iscomplex(x=numpy.ndarray),4
numpy.isfinite(numpy.ndarray),3
numpy.isinf(numpy.ndarray),5
numpy.isnan(numpy.ndarray),10
numpy.signbit(numpy.ndarray),4
"numpy.ldexp(numpy.ndarray, numpy.ndarray)",6
"numpy.fmod(numpy.ndarray, numpy.ndarray)",6
numpy.ndarray * float,2
numpy.ceil(numpy.ndarray),4
numpy.degrees(numpy.ndarray),6
numpy.radians(numpy.ndarray),4
numpy.fix(x=numpy.ndarray),1
numpy.ndarray - float,1
numpy.isscalar(element=builtins.complex),1
numpy.angle,2
numpy.isscalar(element=builtins.function),1
"numpy.angle(deg=numpy.ndarray, z=builtins.bool)",1
"numpy.ndarray.__array_wrap__(numpy.ndarray, numpy.ndarray)",1
"numpy.angle(deg=builtins.bool, z=numpy.ndarray)",3
numpy.ndarray + builtins.complex,4
numpy.real(val=numpy.ndarray),5
numpy.imag(val=numpy.ndarray),4
numpy.conjugate(numpy.ndarray),7
"numpy.clip(a=numpy.ndarray, a_max=int, a_min=int)",3
numpy.fabs(numpy.ndarray),5
numpy.sign(numpy.ndarray),6
numpy.absolute(numpy.ndarray),8
"numpy.empty_like(numpy.ndarray, dtype=numpy.dtype, shape=tuple[int])",1
numpy.frexp(numpy.ndarray),4
numpy.modf(numpy.ndarray),4
numpy.isscalar(element=dask.array.tests.test_array_core.test_slicing_with_non_ndarrays.<locals>.ARangeSlice),2
"numpy.arange(int, dtype=numpy.dtype)",1
numpy.asarray(a=dask.array.tests.test_array_core.test_slicing_with_non_ndarrays.<locals>.ARangeSlice),1
numpy.matrix(data=list[list[int]]),1
numpy.asarray(a=numpy.matrix),1
numpy.matrix,1
numpy.matrix[int],1
numpy.asarray(a=list[int]),4
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType]]]",1
"numpy.ndarray[tuple[NoneType, slice[NoneType, NoneType, NoneType]]]",11
numpy.dtype(Type[builtins.int]),3
"numpy.array(tuple[int, int])",3
Type[Type[numpy.datetime64]uiltins.int] == Type[numpy.datetime64],1
Type[Type[numpy.datetime64]uiltins.float] == Type[numpy.datetime64],1
numpy.array(float),4
Type[Type[numpy.datetime64]uiltins.complex] == Type[numpy.datetime64],1
numpy.array(builtins.complex),2
numpy.isscalar(element=numpy.complex128),4
Type[Type[numpy.datetime64]uiltins.Type[numpy.datetime64]ool] == Type[numpy.datetime64],1
numpy.array(builtins.bool),3
Type[Type[numpy.datetime64]uiltins.Type[numpy.datetime64]ytes] == Type[numpy.datetime64],1
numpy.array(builtins.bytes),2
numpy.isscalar(element=numpy.bytes_),1
numpy.datetime64,2
numpy.str_.ndim,1
numpy.array(numpy.str_),3
Type[numpy.int8] == Type[numpy.datetime64],1
numpy.int8.ndim,1
numpy.array(numpy.int8),1
numpy.uint8(int),1
numpy.array(numpy.uint8),3
numpy.isscalar(element=numpy.uint8),1
Type[numpy.float16] == Type[numpy.datetime64],1
numpy.float16.ndim,1
numpy.array(numpy.float16),1
numpy.timedelta64(int),1
numpy.array(numpy.timedelta64),3
numpy.isscalar(element=numpy.timedelta64),3
Type[numpy.oType[numpy.datetime64]ject_] == Type[numpy.datetime64],1
numpy.int16(int),1
numpy.array(numpy.int16),2
numpy.isscalar(element=numpy.int16),1
Type[numpy.uint16] == Type[numpy.datetime64],1
numpy.uint16.ndim,1
numpy.array(numpy.uint16),1
numpy.float32(int),1
Type[numpy.complex64] == Type[numpy.datetime64],1
numpy.complex64.ndim,2
numpy.array(numpy.complex64),1
numpy.bytes_(int),1
numpy.array(numpy.bytes_),2
numpy.int32(int),1
numpy.array(numpy.int32),4
numpy.isscalar(element=numpy.int32),3
Type[numpy.uint32] == Type[numpy.datetime64],1
numpy.uint32.ndim,2
numpy.array(numpy.uint32),1
numpy.float64(x=int),3
Type[numpy.complex128] == Type[numpy.datetime64],1
numpy.complex128.ndim,5
numpy.array(numpy.complex128),1
numpy.str_(int),1
numpy.isscalar(element=numpy.str_),1
Type[numpy.uint64] == Type[numpy.datetime64],1
numpy.uint64.ndim,1
numpy.array(numpy.uint64),1
numpy.float128(int),1
numpy.array(numpy.float128),2
numpy.isscalar(element=numpy.float128),1
Type[numpy.complex256] == Type[numpy.datetime64],1
numpy.complex256.ndim,1
numpy.array(numpy.complex256),1
numpy.bool_(int),1
Type[numpy.void] == Type[numpy.datetime64],1
numpy.void.ndim,2
numpy.array(numpy.void),1
Type[numpy.longlong] == Type[numpy.datetime64],1
numpy.longlong.ndim,1
numpy.array(numpy.longlong),1
numpy.ulonglong(int),1
numpy.array(numpy.ulonglong),2
numpy.isscalar(element=numpy.ulonglong),1
Type[numpy.datetime64] == Type[numpy.datetime64],1
numpy.datetime64.ndim,1
numpy.array(numpy.datetime64),1
numpy.matrix(data=numpy.ndarray),1
numpy.matrix.shape,3
Type[numpy.matrix].__name__,1
numpy.matrix.dtype,3
Type[numpy.matrix].__module__,2
numpy.matrix.ndim,4
"numpy.matrix[tuple[slice[int, int, NoneType], slice[int, int, NoneType]]]",1
numpy.isscalar(element=numpy.matrix),3
"Type[numpy.matrix] in tuple[Type[builtins.tuple], Type[builtins.str]]",1
numpy.matrix in dict,2
"numpy.ndarray.reshape(numpy.matrix, tuple[int])",1
numpy.matrix.view,1
"numpy.ndarray.view(numpy.matrix, type=Type[numpy.ndarray])",1
numpy.matrix.__class__,1
numpy.ndarray.copy(numpy.ndarray),4
numpy.nan_to_num(x=pandas.core.indexes.base.Index),1
numpy.float64 / int,11
numpy.isscalar(element=str),3
"numpy.random.mtrand.RandomState.randn(numpy.random.mtrand.RandomState, int, int, int)",2
float / numpy.int64,3
numpy.median(a=tuple[int]),1
